Название,Автор,Рейтинг,Прочитали,Хотят прочитать,Рецензии,Цитаты
Город и псы,Марио Варгас Льоса,Нет рейтинга,808,775,65,18
Обыкновенное чудо (сборник),Евгений Шварц,Нет рейтинга,527,525,173,436
Похищенная девушка,Джозефина Тэй,Нет рейтинга,379,377,50,54
Сесилия,Фанни Берни,Нет рейтинга,20,19,1,3
Гамлет,Уильям Шекспир,Нет рейтинга,28K,28K,355,1K
Граф Монте-Кристо. Том III,Александр Дюма,Нет рейтинга,166,164,3,2K
Боги забытых предков. Мифология Древней Руси,Автор не указан,Нет рейтинга,4,4,0,0
В паутине,Люси Мод Монтгомери,Нет рейтинга,66,63,10,1
Желтые обои (сборник),Шарлотта Перкинс Гилман,Нет рейтинга,56,55,82,46
Стон горы,Ясунари Кавабата,Нет рейтинга,1K,1K,136,224
Сон в нефритовом павильоне,Автор не указан,Нет рейтинга,59,51,13,17
Мифы о сотворении мира и конце света,Елена Яворская-Милешкина,Нет рейтинга,27,27,1,0
Сон в летнюю ночь (сборник),Уильям Шекспир,Нет рейтинга,77,76,221,348
Корни неба,Ромен Гари,Нет рейтинга,406,376,49,89
"Моряк, которого разлюбило море",Юкио Мисима,Нет рейтинга,2K,2K,155,168
"Финиас Финн, ирландский член парламента",Энтони Троллоп,Нет рейтинга,30,28,4,0
Гроза (сборник),Александр Островский,Нет рейтинга,79,78,381,452
Странная история доктора Джекила и мистера Хайда (сборник),Роберт Льюис Стивенсон,Нет рейтинга,61,61,240,113
Семья Буссардель,Филипп Эриа,Нет рейтинга,345,335,51,9
Песчинка,Рабиндранат Тагор,Нет рейтинга,46,46,10,11
Мифы Западной Сибири. От Оби и Алтайских гор до Старика-филина и Золотой бабы,Татьяна Муравьева,Нет рейтинга,18,17,1,0
Кому на Руси жить хорошо,Николай Некрасов,Нет рейтинга,667,646,126,160
Врата,Нацумэ Сосэки,Нет рейтинга,88,88,5,9
Зимние истории. Рассказы русских писателей,Автор не указан,Нет рейтинга,43,41,2,1
Падение дома Ашеров: графический роман (сборник),Жан Дюфо,Нет рейтинга,50,48,68,37
Три толстяка,Юрий Олеша,Нет рейтинга,7K,7K,150,81
"Книга чая: японская гармония искусства, культуры и простой жизни (с комментариями и иллюстрациями)",Какудзо Окакура,Нет рейтинга,267,238,14,93
На острове небесных сетей (сборник),Мондзаэмон Тикамацу,Нет рейтинга,7,7,5,8
Однажды в лесу,Бибхутибхушон Бондопаддхай,Нет рейтинга,28,28,1,5
Под знаком незаконнорожденных,Владимир Набоков,Нет рейтинга,766,728,33,139
Прекрасные и обреченные,Фрэнсис Скотт Фицджеральд,Нет рейтинга,3K,3K,152,677
Богиня,Юкио Мисима,Нет рейтинга,14,14,2,4
Большой Пожар,Владимир Санин,Нет рейтинга,239,239,47,127
Метрополис,Теа фон Харбоу,Нет рейтинга,36,34,2,14
Испанская баллада (сборник),Лион Фейхтвангер,Нет рейтинга,659,644,237,187
Лавка дурных снов,Стивен Кинг,Нет рейтинга,3K,3K,308,370
Продавец воздуха,Александр Беляев,Нет рейтинга,3K,3K,172,60
Парижские тайны. В 2 томах,Эжен Сю,Нет рейтинга,772,738,145,169
Фея Хлебных Крошек (сборник),Шарль Нодье,Нет рейтинга,7,5,13,40
